claim_id,claim,evidence_type,source,version,observed_event,supports,does_not_support,verification_status
CM-01,Claude Code 的代理循环为 gather context → take action → verify results,E1官方,S2 code.claude.com/docs/en/how-claude-code-works,访问日期2026-09-15,未观察(观察实验未开始),RQ1 行为分类框架,RQ1 具体事件频率;不等于内部实现的完整描述,已核验(2026-09-15 执行者网页访问;2026-09-15审阅方声明未独立复核)
CM-02,Anthropic 官方建议长任务 harness 采用初始化代理+增量编码代理+进度文件的分工,E1官方,S1 anthropic.com/engineering/effective-harnesses-for-long-running-agents,发布2025-11-26;访问2026-09-15,未观察,RQ2 状态交接的官方工程依据,不代表 Claude Code 产品内部即如此实现,已核验(2026-09-15 执行者网页访问;审阅方未独立复核)
CM-03,"dsh 会话设计约定:日志为 append-only 且""模型可见即已记录""",E2源码-设计文档层,workspace/deepseek-harness docs/architecture.zh.md 会话日志节(仓库内固定版本设计文档),dsh@c291e79,未观察,RQ2 状态通道设计的约定依据,"文档层证据,不构成实现行为的完整核验",已核验-文档层(2026-09-15 D:/ 克隆 grep 命中)
CM-04,"dsh 压缩为投影遮蔽:compaction/* 事件仅入日志,摘要经带 surfaceOp replace 的 user/message 承载,账本不改写",E2源码-设计文档+实现,docs/subsystems/compaction.zh.md:11(设计文档);packages/compaction/compaction/src/types.ts:26/:75(类型旁注与 shadow-price 协议注释);实际替换调用 packages/compaction/compaction-basic/src/region.ts:491-493(session.append('user/message') 携带 surfaceOp replace),dsh@c291e79,未观察,RQ5 压缩子实验与状态外置设计参照,不证明 Claude Code 的压缩同构,已核验-文档+实现层(2026-09-15 执行者双源 grep;region.ts:491-493 由 v2 复审方独立确认含实际替换调用;不等于全部压缩行为已测试)
CM-05,dsh 工具执行约定为三段瀑布(pre-execute→execute→post-execute)加单调守卫(守卫签名无 allow 不可翻案),E2源码-设计文档层,docs/subsystems/tools.zh.md:170-172、:317(仓库内固定版本设计文档),dsh@c291e79,未观察,实验B工具接口与反馈通道的受控实现参照,"文档层证据,不构成实现行为的完整核验;不涉及 Claude Code",已核验-文档层(2026-09-15 grep 命中)
CM-06,"dsh 的 ask 决策仅在审批服务返回 allowed-once 时放行,否则拒绝(fail-closed)",E2源码-设计文档层,docs/subsystems/tools.zh.md:381(仓库内固定版本设计文档),dsh@c291e79,未观察,实验B权限与反馈控制设计参照,文档层证据;不涉及 Claude Code,已核验-文档层(2026-09-15 grep 命中)
CM-07,"dsh 的 goal/plan/todo/schedule 四类任务事件均登记为仅日志(log-only),不投影为模型消息",E2源码-设计文档层,"docs/persistence-catalog.zh.md 文档标题 :458/:581/:658/:918 标注 log-only,事件符号 :464('goal/change')/:589('plan/mode')/:665('schedule/change')/:922('todo/write')",dsh@c291e79,未观察,RQ2 状态记录形式的约定依据,"目录登记属文档层证据,各事件载荷实现另行核验;不涉及 Claude Code",已核验-文档层(执行者 2026-09-15 四符号逐一命中;v2 复审方同日独立确认标题与符号两处定位)
CM-08,Deep Agents 在提交 1d3232c 存在 SummarizationMiddleware/filesystem 中间件及摘要恢复评测测试,E2源码-实现(他人核查),github.com/langchain-ai/deepagents/tree/1d3232c0852c47af09119edea10eeec887e4f0da(libs/deepagents/deepagents/middleware/summarization.py、filesystem.py;libs/evals/tests/evals/test_summarization.py),deepagents@1d3232c,未观察,实验B扩展载体的候选对照,不因本执行者未另行克隆而否认该固定SHA核查;但不能反推旧笔记对照的历史版本有误,"部分核验(来源为计划撰写方2026-09-15对固定SHA原始文件的核查记录;本执行者未独立克隆,不据此升级)"
CM-09,结构化跨阶段状态交接改善需求保持/恢复效率/回归控制,E4假设,本研究假设(机制背景见CM-01/02/07),N/A,待实验B检验,RQ2,无直接;小样本下仅探索性,未检验(P3先导后更新)
CM-10,开发阶段真实测试反馈提升修复成功率与最终质量但增加调用与时间,E4假设,本研究假设(机制背景见CM-01),N/A,待实验B检验,RQ3,无直接,未检验(P3先导后更新)
CM-11,状态交接与测试反馈存在正向交互(联合优于单独),E4假设,本研究假设,N/A,待实验B检验,RQ4,无,未检验(探索性;小样本不强求显著)
CM-12,开源受控消融的结论可外推到 Claude Code 的内部机制,E4假设,"无(明确不成立的外推,登记以防越界)",N/A,N/A,无,所有因果归因,被计划§3明确排除
